hood_id,name,geometry
1,Edison Park,"list(c(-87.82119362, -87.80656716, -87.80670563, -87.80681841, -87.80758471, -87.80865903, -87.80927272, -87.82152067, -87.82140489, -87.81972074, -87.81971614, -87.82017546, -87.82014655, -87.82121835, -87.82119362, 42.01862948, 42.01896294, 42.00217822, 41.99778256, 41.99767189, 41.99733424, 41.99716577, 41.99693556, 42.01137961, 42.01137209, 42.011943, 42.01194505, 42.01554179, 42.01554657, 42.01862948))"
2,Wildwood,"list(c(-87.77332319, -87.76579734, -87.76640962, -87.76648666, -87.78226834, -87.78325456, -87.7888629, -87.7792938, -87.77918603, -87.77696587, -87.77692066, -87.77332319, 42.01195441, 41.99735871, 41.99736173, 41.99730502, 42.00446142, 42.00549382, 42.01208626, 42.01204048, 42.01563681, 42.01562608, 42.012029, 42.01195441))"
3,Edgebrook,"list(c(-87.76982662, -87.76757103, -87.76753703, -87.76168946, -87.76189794, -87.76237346, -87.75282496, -87.74994092, -87.75092453, -87.75053695, -87.74945482, -87.74930638, -87.75086726, -87.75126437, -87.75142659, -87.75417385, -87.75766199, -87.75655829, -87.75787747, -87.75606597, -87.7654591, -87.76982662, 42.00516054, 42.00456798, 42.00840549, 42.00843466, 42.0025629, 42.00169307, 41.99728418, 41.99726956, 41.99198321, 41.99174866, 41.99075467, 41.98993986, 41.9897152, 41.98890316, 41.98820623, 
41.98606869, 41.98817952, 41.9895695, 41.99021573, 41.99229992, 41.99659147, 42.00516054))"
4,Sauganash,"list(c(-87.75001887, -87.72889479, -87.72880052, -87.72849482, -87.73184669, -87.73838537, -87.74812541, -87.74813838, -87.74938432, -87.74937901, -87.74976339, -87.75092347, -87.75001887, 41.99726996, 41.99721882, 41.9907059, 41.99006468, 41.99002415, 41.9825573, 41.98272365, 41.98981762, 41.98994026, 41.9905217, 41.99110512, 41.9920995, 41.99726996))"
5,Brynford Park,"list(c(-87.7285273, -87.72832983, -87.73425352, -87.73421645, -87.7285273, 41.9866342, 41.98279548, 41.98271025, 41.98666403, 41.9866342))"
6,Peterson Park,"list(c(-87.71088749, -87.70923971, -87.72171202, -87.72175934, -87.72849482, -87.72887846, -87.72897218, -87.71088749, 41.99729703, 41.99042679, 41.99026133, 41.99345965, 41.99006468, 41.99070631, 41.99727737, 41.99729703))"
7,Hollywood Park,"list(c(-87.72865125, -87.72771544, -87.72171257, -87.70924027, -87.70705132, -87.72833038, -87.72865125, 41.99000736, 41.99006057, 41.99020319, 41.99036864, 41.98308839, 41.98273733, 41.99000736))"
8,Peterson,"list(c(-87.72841688, -87.72183729, -87.72178996, -87.72841688, 41.99006427, 41.99346006, 41.99026174, 41.99006427))"
9,West Rogers Park,"list(c(-87.68248699, -87.68255904, -87.67647468, -87.67617571, -87.67489853, -87.67223402, -87.69948144, -87.69937079, -87.70926793, -87.71033468, -87.70937117, -87.70867616, -87.68248699, 42.01951711, 42.0124497, 41.99492518, 41.99276718, 41.9920411, 41.99078509, 41.99062215, 41.98559019, 41.99151433, 41.99739002, 41.99738479, 42.01918344, 42.01951711))"
10,Rogers Park,"list(c(-87.68248699, -87.67333297, -87.67715507, -87.67715014, -87.66526214, -87.66271065, -87.66066647, -87.65952197, -87.66384991, -87.66276729, -87.66091489, -87.65982758, -87.6588591, -87.65750326, -87.65436092, -87.65408558, -87.66083052, -87.66086205, -87.67756799, -87.68271967, -87.68248699, 42.01951711, 42.01922525, 42.02248158, 42.02296072, 42.02289215, 42.02108037, 42.01687564, 42.01351437, 42.01344749, 42.01058293, 42.01038769, 42.00798408, 42.00604216, 42.00566538, 42.00557794, 42.00126374, 
42.00130346, 41.9983088, 41.99792627, 42.01245062, 42.01951711))"
